2021_04_25 2021-04-25 10:12:55   设备volt_2连接IP ：192.168.1.122 失败
2021_04_25 2021-04-25 10:12:57   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:12:59   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:00   尝试[开启]第2台工作
2021_04_25 2021-04-25 10:13:00   [开启]第2台工作失败
2021_04_25 2021-04-25 10:13:01   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:01   尝试[开启]第2台工作
2021_04_25 2021-04-25 10:13:01   [开启]第2台工作失败
2021_04_25 2021-04-25 10:13:02   尝试[开启]第2台工作
2021_04_25 2021-04-25 10:13:03   [开启]第2台工作失败
2021_04_25 2021-04-25 10:13:03   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:05   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:07   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:09   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:11   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:13   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:15   设备volt_2未读到电压！
2021_04_25 2021-04-25 10:13:17   设备volt_2未读到电压！
