Info    2021-04-08 14:30:53:0123  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0287)  ProcessName:python.exe(10776)     Description:Get Driver Mode, DriverMode[1]     Solution:
Info    2021-04-08 14:30:53:0123  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1210)  ProcessName:python.exe(10776)     Description:Connecting device, GvspDstIP[192.168.1.102], GvspDstPort[53295], DeviceIP[192.168.1.100]     Solution:
Info    2021-04-08 14:30:53:0518  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVCP.cpp-L0042)  ProcessName:python.exe(10776)     Description:GVCP HeartBeatThread Start, ThreadId[7128]     Solution:
Info    2021-04-08 14:30:53:0521  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1087)  ProcessName:python.exe(10776)     Description:Driver mode start!     Solution:
Info    2021-04-08 14:30:53:0688  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2423)  ProcessName:python.exe(10776)     Description:GigE SendRsdCmdThread Start, ThreadId[2656]     Solution:
Info    2021-04-08 14:30:53:0688  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2241)  ProcessName:python.exe(10776)     Description:GigE StreamInterEventThread Start, ThreadId[2960]     Solution:
Info    2021-04-08 14:54:26:0868  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0157)  ProcessName:python.exe(15424)     Description:GigEVision Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MVGigEVisionSDK.dll]     Solution:
Info    2021-04-08 14:54:26:0870  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0287)  ProcessName:python.exe(15424)     Description:Get Driver Mode, DriverMode[1]     Solution:
Info    2021-04-08 14:54:26:0870  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1210)  ProcessName:python.exe(15424)     Description:Connecting device, GvspDstIP[192.168.1.102], GvspDstPort[62545], DeviceIP[192.168.1.100]     Solution:
Info    2021-04-08 14:54:27:0278  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVCP.cpp-L0042)  ProcessName:python.exe(15424)     Description:GVCP HeartBeatThread Start, ThreadId[6128]     Solution:
Info    2021-04-08 14:54:27:0281  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1087)  ProcessName:python.exe(15424)     Description:Driver mode start!     Solution:
Info    2021-04-08 14:54:27:0445  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2423)  ProcessName:python.exe(15424)     Description:GigE SendRsdCmdThread Start, ThreadId[6912]     Solution:
