Info    2021-04-08 14:24:52:0890  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(17020)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 14:24:52:0890  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(17020)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-04-08 14:24:52:0890  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(17020)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
Info    2021-04-08 14:24:52:0891  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7638)  ProcessName:python.exe(17020)     Description:CamCtrl[0x3040200], GigE SDKVersion[0x3040100], DriverVersion[0x3040001]     Solution:
Info    2021-04-08 14:24:53:0276  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L3106)  ProcessName:python.exe(17020)     Description:[GetGenICamXML]Get XML success!     Solution:
Info    2021-04-08 14:24:53:0366  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4899)  ProcessName:python.exe(17020)     Description:[MV_CC_InvalidateNodes]Invalidate Nodes success     Solution:
Info    2021-04-08 14:24:53:0369  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1392)  ProcessName:python.exe(17020)     Description:[MV_CC_OpenDevice]Open device success! PrivilegeMode[1], SwitchoverKey[0], DeviceUptime[252]     Solution:
Info    2021-04-08 14:24:53:0416  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2082)  ProcessName:python.exe(17020)     Description:[GEV]Width[1280], Height[960], PixelFormat[0x1080001], PayloadSize[1228800], ChunkCount[0], CompressMode[0], DeviceUptime[252]     Solution:
Info    2021-04-08 14:24:53:0436  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7256)  ProcessName:python.exe(17020)     Description:CamCtrl RecvThread Start, ThreadId[8736]     Solution:
Info    2021-04-08 14:24:53:0436  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7066)  ProcessName:python.exe(17020)     Description:CamCtrl Display Thread Start, ThreadId[8936]     Solution:
